id,plateforme,genre,annee,mois,duree_min,pays_origine,abonnes_chaine,vues,likes,commentaires,taux_retention,score_critique,tendance
938,YouTube,SF,2023,9,25,USA,287495,1317,44,12,76.3,3.8,0
939,YouTube,Romance,2016,2,5,Allemagne,602623,561,8,10,93.1,6.3,0
940,YouTube,Animation,2017,5,24,UK,101888,66916,9150,1675,67.2,7.4,0
941,YouTube,SF,2019,8,39,Allemagne,11373,1339,8,15,57.9,5.5,0
942,YouTube,Biopic,2016,8,14,USA,382240,103551,1907,1378,53.9,4.5,1
943,YouTube,SF,2020,1,11,USA,11573,1322,161,10,48.7,8.8,0
944,YouTube,Comedie,2017,8,30,Espagne,5369,2862,454,4,52.6,6.0,0
945,YouTube,Comedie,2016,12,32,Espagne,10132,2107,109,2,83.1,7.8,0
946,YouTube,Biopic,2017,10,43,Espagne,7041,5313,666,215,61.5,8.1,0
947,YouTube,Comedie,2023,3,3,Canada,3316,1043,39,7,25.5,8.8,0
948,YouTube,Biopic,2023,11,17,USA,202808,3790,53,3,38.4,6.4,0
949,YouTube,Drame,2019,9,47,France,4689,136903,11633,566,68.4,4.4,1
950,YouTube,Action,2018,1,41,USA,20758,41032,8308,130,78.7,3.6,0
951,YouTube,Thriller,2022,2,54,Espagne,1227,41745,3555,41,76.5,6.1,0
952,YouTube,Animation,2016,12,49,USA,23426,104,10,1,68.8,9.0,0
953,YouTube,SF,2020,3,50,Canada,2182,155,32,2,49.7,6.6,0
954,YouTube,Documentaire,2021,2,32,Allemagne,2077,5137,150,131,26.1,8.5,0
955,YouTube,Animation,2021,6,57,Espagne,17701,20472,544,62,33.1,5.0,0
956,YouTube,SF,2016,7,26,Espagne,182397,814,89,1,63.9,8.7,0
957,YouTube,Animation,2021,7,54,USA,53147,521,35,10,93.9,7.5,0
958,YouTube,Biopic,2020,8,25,USA,60976,97207,7859,765,73.5,6.7,1
959,YouTube,SF,2022,12,28,Espagne,16986,16559,814,81,50.4,7.9,0
960,YouTube,Comedie,2016,10,42,France,11256,41980,297,167,93.2,5.6,0
961,YouTube,SF,2020,1,25,France,107181,988,38,6,56.3,7.2,0
962,YouTube,Horreur,2022,2,11,Espagne,7141,812,28,5,50.9,5.2,0
963,YouTube,Drame,2017,1,54,UK,116875,31959,5506,144,40.9,5.6,0
964,YouTube,Biopic,2021,5,28,USA,260900,1545,107,7,80.6,5.1,0
965,YouTube,Romance,2015,5,55,France,4093,647,156,21,72.1,5.2,0
966,YouTube,Animation,2021,12,25,USA,5492,303,57,8,47.5,3.9,0
967,YouTube,Thriller,2020,5,58,Espagne,7395,830,78,5,57.9,9.9,0
968,YouTube,Biopic,2016,1,37,UK,1171,26574,2021,262,85.9,4.7,0
969,YouTube,Action,2015,11,46,USA,8614,100,22,1,92.1,8.1,0
970,YouTube,Drame,2021,4,46,USA,297419,14366,535,42,66.9,4.0,0
971,YouTube,SF,2017,11,14,Allemagne,2721,507,45,5,64.8,5.6,0
972,YouTube,SF,2019,10,49,Allemagne,311885,1762,255,17,63.3,6.0,0
973,YouTube,SF,2015,11,56,USA,9256,2068,128,54,94.0,8.6,0
974,YouTube,Comedie,2023,10,40,UK,1510681,1716,92,8,39.2,7.0,0
975,YouTube,Drame,2019,2,56,France,5632,1454,181,10,79.3,4.9,0
976,YouTube,Action,2023,8,51,USA,16515,981,135,3,80.4,6.1,0
977,YouTube,Romance,2016,5,40,France,3567,714,143,1,73.6,8.3,0
978,YouTube,Thriller,2016,8,30,USA,5566,80775,5949,147,76.1,8.1,1
979,YouTube,Romance,2020,9,51,USA,320090,3173,310,65,65.1,5.5,0
980,YouTube,Romance,2020,7,13,USA,56901,2175,288,54,46.6,4.3,0
981,YouTube,Documentaire,2022,4,34,France,172410,594,65,21,40.1,5.5,0
982,YouTube,Romance,2023,11,49,France,1585,1075,99,4,68.0,7.5,0
983,YouTube,Animation,2022,8,56,France,81605,600,55,1,60.7,3.9,0
984,YouTube,Romance,2016,11,18,UK,3156,20198,809,102,84.6,6.2,0
985,YouTube,Animation,2017,3,8,France,1518,453,12,2,95.0,4.7,0
986,YouTube,Animation,2023,11,22,France,35508,100,16,1,31.7,5.8,0
987,YouTube,Thriller,2019,4,52,Espagne,34789,3448,453,27,57.8,7.3,0
988,YouTube,Drame,2022,6,32,France,24506,1482,121,1,76.6,6.4,0
989,YouTube,Documentaire,2020,11,6,Allemagne,92514,689,30,3,90.6,7.5,0
990,YouTube,Thriller,2015,5,9,UK,126390,29111,3469,159,84.3,8.3,0
991,YouTube,Romance,2019,4,22,UK,416423,100,24,4,78.0,10.0,0
992,YouTube,Comedie,2022,11,22,USA,2037,153370,1313,901,49.7,7.9,1
993,YouTube,SF,2020,12,10,France,444201,41634,2319,193,55.8,7.4,0
994,YouTube,Romance,2016,4,31,Canada,950385,620,17,1,66.8,5.5,0
995,YouTube,Animation,2016,4,30,Canada,10588,965,25,1,54.7,7.8,0
996,YouTube,Romance,2022,3,14,USA,782,10519,1577,23,67.2,8.8,0
997,YouTube,Thriller,2023,1,16,Canada,1384,11249,1543,95,36.3,5.5,0
998,YouTube,Biopic,2021,7,40,USA,8745,611,30,6,29.4,5.7,0
999,YouTube,Romance,2015,4,57,Allemagne,1237103,100,2,3,55.8,5.5,0
1000,YouTube,Horreur,2020,11,59,Canada,22791,587852,55195,63,84.6,4.5,1
1001,YouTube,Documentaire,2022,3,34,France,6410,32542,4028,197,43.0,6.5,0
1002,YouTube,Romance,2020,8,5,Allemagne,5592,4412,238,132,89.7,4.5,0
1003,YouTube,Horreur,2020,7,54,Espagne,1563,4625,414,12,76.2,6.4,0
1004,YouTube,Comedie,2019,8,57,UK,126646,14091,868,35,75.4,7.0,0
1005,YouTube,Biopic,2017,2,18,France,18322,19008,3128,862,85.0,6.9,0
1006,YouTube,Horreur,2017,6,25,Canada,1468363,100,13,1,81.4,5.8,0
1007,YouTube,Romance,2021,8,4,UK,77374,1239,181,21,95.0,4.2,0
1008,YouTube,Documentaire,2015,5,48,USA,115829,956,127,30,70.5,8.3,0
1009,YouTube,Romance,2015,11,47,Allemagne,13572,1991,409,3,95.0,3.8,0
1010,YouTube,Drame,2018,7,4,USA,2484,20475,1965,55,84.3,6.7,0
1011,YouTube,Documentaire,2021,5,43,Allemagne,3838,100,7,2,66.4,8.7,0
1012,YouTube,Drame,2020,1,26,UK,1424,102,7,1,33.4,6.6,0
1013,YouTube,Thriller,2020,3,34,France,136051,542,31,13,47.5,8.4,0
1014,YouTube,Romance,2019,6,15,Espagne,10200,4384,985,10,77.3,7.3,0
1015,YouTube,Horreur,2015,5,49,USA,148004,23868,1941,366,74.0,4.4,0
1016,YouTube,Thriller,2017,11,26,USA,28906,176012,23234,750,57.0,8.5,1
1017,YouTube,SF,2015,10,50,USA,12263,1456,82,13,36.0,5.6,0
1018,YouTube,Action,2021,2,11,France,2123,23770,3439,98,49.0,5.9,0
1019,YouTube,Comedie,2021,8,36,UK,40266,17595,1672,59,58.3,7.5,0
1020,YouTube,Action,2017,6,20,USA,14224,11546,606,31,95.0,5.1,0
1021,YouTube,Action,2017,2,58,Espagne,133835,2805,434,7,82.8,7.9,0
1022,YouTube,Horreur,2017,8,34,Espagne,5266,1097,25,37,83.1,7.1,0
1023,YouTube,Horreur,2023,7,44,Canada,75524,207,6,1,58.2,9.0,0
1024,YouTube,Horreur,2019,2,7,France,586364,176,28,4,80.4,8.2,0
1025,YouTube,Action,2021,6,41,UK,37991,7098,355,18,54.1,6.2,0
1026,YouTube,Action,2019,9,8,France,105935,2601,272,6,55.0,5.9,0
1027,YouTube,Drame,2021,4,23,Canada,69132,1054,34,1,82.2,5.4,0
1028,YouTube,Romance,2019,5,15,USA,980857,15709,491,107,72.1,6.1,0
1029,YouTube,Thriller,2017,2,3,Espagne,46310,1805,102,38,66.5,5.1,0
1030,YouTube,SF,2022,3,36,USA,89314,304,10,1,89.7,6.0,0
1031,YouTube,Comedie,2021,12,16,France,20484,1531,52,3,66.3,4.6,0
1032,YouTube,Documentaire,2021,8,32,Espagne,4680,23192,1757,59,53.5,5.0,0
1033,YouTube,Thriller,2023,3,46,USA,1965,230,43,0,67.9,8.6,0
1034,YouTube,Action,2017,6,13,Allemagne,277575,5030,302,13,56.5,4.5,0
1035,YouTube,Documentaire,2015,3,43,Allemagne,2931,2595,87,24,39.6,4.4,0
1036,YouTube,Biopic,2020,6,19,USA,97902,444,40,1,62.7,5.4,0
1037,YouTube,Action,2017,2,21,USA,50616,1431,127,9,75.8,8.5,0
1038,YouTube,SF,2018,8,35,USA,138077,100,8,2,59.2,5.1,0
1039,YouTube,Horreur,2017,7,38,Canada,7868,3920,187,67,37.1,6.0,0
1040,YouTube,Documentaire,2018,8,40,Espagne,4530,100,7,0,55.2,6.9,0
1041,YouTube,Horreur,2018,6,14,USA,46945,43525,5493,366,61.6,7.3,0
1042,YouTube,SF,2018,4,36,UK,12274,2368,190,7,78.5,6.3,0
1043,YouTube,Thriller,2021,3,18,France,1877,713,13,10,52.1,7.1,0
1044,YouTube,Documentaire,2020,3,18,UK,1063473,54252,9488,353,77.8,7.9,0
1045,YouTube,Comedie,2019,6,57,Canada,4524,225,25,2,80.0,4.6,0
1046,YouTube,Drame,2016,6,8,Allemagne,3019,459,22,24,46.4,5.5,0
1047,YouTube,Animation,2020,9,26,USA,13571,100,6,2,51.7,5.2,0
1048,YouTube,Animation,2016,1,28,USA,269875,78728,12665,747,92.1,5.9,0
1049,YouTube,Comedie,2017,4,16,France,289,321954,10745,561,86.1,8.4,1
1050,YouTube,Romance,2018,11,47,France,228608,100,8,4,87.9,8.0,0
1051,YouTube,Thriller,2016,11,30,USA,3558,387,54,1,85.5,6.4,0
1052,YouTube,Romance,2018,12,44,Allemagne,37385,3549,271,4,75.3,7.7,0
1053,YouTube,Biopic,2017,4,25,USA,5698,821,58,12,61.1,9.7,0
1054,YouTube,Action,2022,2,54,USA,1183318,2756,112,23,83.7,4.6,0
1055,YouTube,Biopic,2022,3,44,UK,28261,2221,204,19,68.6,5.5,0
1056,YouTube,SF,2015,2,21,France,5344,8257,687,41,89.0,6.1,0
1057,YouTube,Documentaire,2020,12,57,France,12062,269,4,0,81.5,7.1,0
1058,YouTube,SF,2020,11,52,Espagne,26351,4825,606,262,62.3,7.3,0
1059,YouTube,Thriller,2018,10,36,France,31424,183,29,1,61.0,4.9,0
1060,YouTube,Documentaire,2019,9,3,USA,52972,1064,198,30,43.4,6.8,0
1061,YouTube,Animation,2022,5,36,USA,21964,100,4,2,79.2,7.8,0
1062,YouTube,Comedie,2018,6,42,France,1402,1084,75,12,70.9,4.7,0
1063,YouTube,Documentaire,2015,11,23,France,11153,712,110,1,32.8,6.7,0
1064,YouTube,Documentaire,2018,10,11,France,74110,31537,2981,130,56.1,5.6,0
1065,YouTube,Thriller,2017,7,35,USA,5768,2570,136,9,58.5,4.3,0
1066,YouTube,Biopic,2018,11,48,Allemagne,84589,4049,867,54,89.1,8.0,0
1067,YouTube,Animation,2017,5,21,USA,23469,2818,60,5,74.2,7.2,0
1068,YouTube,Thriller,2016,5,29,USA,14250,100,16,1,95.0,5.2,0
1069,YouTube,Action,2023,11,3,USA,239974,100,4,3,53.0,7.9,0
1070,YouTube,Animation,2016,5,43,Espagne,681,1343,136,4,20.6,9.7,0
1071,YouTube,Drame,2021,10,52,France,5706,5981,350,6,43.6,6.7,0
1072,YouTube,Documentaire,2021,6,47,Allemagne,259070,1657,171,25,78.0,4.4,0
1073,YouTube,Romance,2020,4,27,USA,856062,343,31,0,63.0,6.0,0
1074,YouTube,SF,2023,3,5,Espagne,2130750,1634,122,39,85.5,3.6,0
1075,YouTube,Comedie,2015,8,31,USA,24360,1315,107,8,79.6,6.3,0
1076,YouTube,Documentaire,2017,6,56,France,55038,20900,1712,14,84.2,5.9,0
1077,YouTube,Comedie,2016,5,7,USA,112967,18170,910,15,69.1,7.7,0
1078,YouTube,SF,2020,9,15,France,282137,747,47,17,83.7,5.6,0
1079,YouTube,Horreur,2020,1,50,Canada,41199,2631,442,15,70.6,7.8,0
1080,YouTube,Biopic,2023,2,35,UK,140406,5946,242,124,24.6,5.3,0
1081,YouTube,Biopic,2018,12,12,UK,55245,8618,493,0,72.1,6.3,0
1082,YouTube,Biopic,2017,8,4,France,62595,185627,20435,1725,46.0,4.4,1
1083,YouTube,Romance,2023,7,26,UK,3509,2778,421,18,66.1,4.9,0
1084,YouTube,Drame,2021,1,36,USA,11402,55373,9220,897,61.3,7.7,0
1085,YouTube,Horreur,2021,8,50,Espagne,7742,163,6,3,60.6,8.1,0
1086,YouTube,Horreur,2019,6,53,UK,2043,605,50,6,66.0,5.5,0
1087,YouTube,Biopic,2019,8,29,USA,809,100,13,1,57.6,7.3,0
1088,YouTube,Animation,2018,1,27,Allemagne,9440,4351,488,31,65.9,7.7,0
1089,YouTube,Comedie,2021,7,56,USA,12993,15045,548,207,90.6,4.9,0
1090,YouTube,Romance,2016,7,47,USA,27175,100,2,4,72.9,7.2,0
1091,YouTube,SF,2023,4,14,France,66934,4772,142,14,46.7,6.5,0
1092,YouTube,Horreur,2016,1,41,UK,32088,13501,1516,125,32.8,7.0,0
1093,YouTube,Thriller,2019,12,43,USA,13176,11708,961,4,71.6,6.3,0
1094,YouTube,Thriller,2017,9,16,France,3532,149,13,0,71.9,3.3,0
1095,YouTube,Action,2020,8,58,Canada,127279,20594,434,35,59.2,6.8,0
1096,YouTube,Horreur,2021,10,19,France,17968,3051,686,13,25.3,6.3,0
1097,YouTube,Documentaire,2023,9,34,UK,9250,13063,1298,17,45.5,6.0,0
1098,YouTube,Action,2022,2,31,France,15170,2176,177,8,43.6,4.0,0
1099,YouTube,SF,2017,6,42,USA,5087,7727,621,137,90.6,8.0,0
1100,YouTube,SF,2016,11,54,Allemagne,7620,47719,3898,591,64.2,6.6,0
1101,YouTube,SF,2022,4,25,France,7151,1789,74,3,59.4,3.5,0
1102,YouTube,Biopic,2019,12,24,UK,12398,6064,228,14,49.5,8.5,0
1103,YouTube,Comedie,2015,1,45,UK,81757,67807,7446,1390,84.8,7.1,0
1104,YouTube,Thriller,2022,4,57,Allemagne,49723,2136,159,10,52.3,7.9,0
1105,YouTube,Comedie,2020,5,54,France,485762,178,19,0,62.6,6.1,0
1106,YouTube,Drame,2015,8,45,Canada,248564,16156,2288,33,57.5,6.5,0
1107,YouTube,Biopic,2022,3,43,USA,1102227,107709,15170,4870,50.2,8.1,1
1108,YouTube,Biopic,2020,3,46,USA,67394,74754,10366,330,63.2,7.2,0
1109,YouTube,Action,2020,8,56,USA,65264,17809,1659,94,48.7,6.3,0
1110,YouTube,Animation,2022,4,3,USA,8309,100,13,0,95.0,5.5,0
1111,YouTube,Drame,2019,11,36,USA,114924,608,116,10,64.1,2.7,0
1112,YouTube,Comedie,2019,11,4,France,5929,691,40,2,74.4,7.9,0
1113,YouTube,Drame,2020,4,35,USA,1163,3334,117,15,48.1,7.9,0
1114,YouTube,Comedie,2016,7,25,UK,466329,202939,30607,2023,79.2,7.6,1
1115,YouTube,SF,2016,4,20,USA,1811,200,33,2,75.3,8.2,0
1116,YouTube,Biopic,2022,5,53,France,52981,810579,15970,1234,95.0,5.1,1
1117,YouTube,Romance,2016,9,43,USA,3787,1146,79,2,62.9,6.0,0
1118,YouTube,Documentaire,2019,4,35,USA,209679,438,39,6,68.3,5.8,0
1119,YouTube,SF,2017,2,53,UK,275377,24661,4127,247,90.2,3.6,0
1120,YouTube,Action,2017,4,8,Allemagne,63472,30054,2594,29,63.7,5.6,0
1121,YouTube,Action,2020,12,39,USA,266393,15136,672,245,78.3,6.8,0
1122,YouTube,Drame,2022,4,11,UK,22352,435,77,1,68.1,8.1,0
1123,YouTube,Drame,2018,5,16,France,1920986,10457,1517,44,84.3,7.3,0
1124,YouTube,Horreur,2016,8,13,Espagne,97961,225,5,1,68.7,5.6,0
1125,YouTube,Horreur,2017,2,34,USA,3636,406,87,0,86.0,7.9,0
1126,YouTube,Horreur,2016,4,38,USA,25316,2351,275,2,87.6,7.0,0
1127,YouTube,Animation,2022,3,46,France,16236,383,59,2,22.9,4.1,0
1128,YouTube,Romance,2017,12,28,France,13348,41434,4293,74,92.6,6.8,0
1129,YouTube,Animation,2018,12,56,Canada,800,702,71,1,79.6,7.7,0
1130,YouTube,SF,2015,10,24,France,47749,1717,199,10,62.2,7.3,0
1131,YouTube,Animation,2019,3,11,France,1378,330,45,2,76.1,4.8,0
1132,YouTube,Documentaire,2023,8,5,France,141,39895,6130,550,59.0,5.1,0
1133,YouTube,Documentaire,2018,8,10,Espagne,11069,563,46,2,85.7,9.7,0
1134,YouTube,Animation,2020,11,28,Canada,4857,51793,4931,472,73.1,5.2,0
1135,YouTube,Action,2016,2,26,Allemagne,3932,43103,2300,256,54.0,6.6,0
1136,YouTube,Documentaire,2016,9,51,Allemagne,100,977,28,0,85.9,2.8,0
1137,YouTube,Thriller,2021,3,10,Allemagne,4017,3210,469,32,72.5,8.5,0
1138,YouTube,Documentaire,2015,7,17,USA,15564,912,87,1,88.0,7.7,0
1139,YouTube,Romance,2019,11,58,France,6196,11664,1799,47,68.8,9.1,0
1140,YouTube,Horreur,2017,1,4,USA,47795,1833,333,5,60.0,5.0,0
1141,YouTube,Thriller,2015,2,27,France,356939,1049,47,19,53.8,8.4,0
1142,YouTube,Biopic,2019,10,14,UK,61866,3345,83,49,77.6,5.0,0
1143,YouTube,Horreur,2023,1,33,France,171577,100,6,3,72.4,8.9,0
1144,YouTube,Thriller,2015,9,58,France,202451,2466,95,2,41.9,2.9,0
1145,YouTube,SF,2022,7,15,UK,2870,15123,3262,83,52.6,8.1,0
1146,YouTube,Romance,2019,5,24,France,53009,4209,341,5,51.0,6.6,0
1147,YouTube,Documentaire,2021,11,28,France,161186,32181,9715,299,67.2,7.6,0
1148,YouTube,Animation,2015,11,48,France,9210,1160,139,0,57.8,7.4,0
1149,YouTube,Horreur,2022,4,59,UK,4531,945,113,1,84.8,7.2,0
1150,YouTube,Thriller,2015,1,8,France,63628,182,22,2,51.6,10.0,0
1151,YouTube,Romance,2023,2,30,France,1137,1080,13,2,61.7,9.3,0
1152,YouTube,SF,2020,2,45,France,2499,406253,1315,6304,50.7,7.4,1
1153,YouTube,Biopic,2018,12,3,Canada,5805,5936,223,34,65.7,6.9,0
1154,YouTube,Thriller,2015,8,48,France,54232,689,61,2,68.3,8.8,0
1155,YouTube,Romance,2020,9,16,France,34126,240,21,1,63.3,8.9,0
1156,YouTube,Comedie,2015,3,32,Allemagne,173640,100,4,1,67.8,6.8,0
1157,YouTube,Horreur,2020,11,58,Allemagne,3485,373,42,9,30.5,6.7,0
1158,YouTube,Thriller,2021,9,39,France,3130,19890,1219,91,82.8,5.1,0
1159,YouTube,Thriller,2017,10,59,France,62807,1024,22,21,95.0,7.1,0
1160,YouTube,Romance,2017,6,37,France,4458,271,16,3,76.5,6.9,0
1161,YouTube,SF,2016,9,14,UK,6587,357,15,3,37.9,8.1,0
1162,YouTube,Horreur,2017,7,42,France,537,15118,1372,99,95.0,9.3,0
1163,YouTube,Romance,2016,5,38,Espagne,39406,2432,95,15,60.0,8.4,0
1164,YouTube,Romance,2017,8,20,Canada,480499,621,113,8,95.0,8.2,0
1165,YouTube,Comedie,2020,4,7,USA,2811,1378,157,17,77.1,6.2,0
1166,YouTube,Action,2017,12,39,France,169975,740223,38176,14207,52.6,6.0,1
1167,YouTube,Thriller,2022,9,35,Allemagne,19559,62884,1537,284,80.2,7.7,0
1168,YouTube,Biopic,2022,9,47,UK,644,117191,8489,26,62.0,7.5,1
1169,YouTube,Biopic,2021,9,10,Canada,3679,100,4,1,91.6,7.6,0
1170,YouTube,Animation,2019,6,33,France,3252,2043,192,34,83.3,5.1,0
1171,YouTube,Animation,2017,12,49,UK,11695,594,14,1,88.2,5.1,0
1172,YouTube,Thriller,2023,3,53,Canada,50971,11609,1620,16,72.6,5.8,0
1173,YouTube,Comedie,2016,7,56,Espagne,888993,42172,7048,891,89.2,7.7,0
1174,YouTube,Action,2019,1,15,USA,1258,6741,322,27,51.7,6.6,0
1175,YouTube,Thriller,2019,4,12,USA,8353,336,11,0,79.9,8.9,0
1176,YouTube,Thriller,2021,7,35,USA,3670,571,15,2,73.8,5.0,0
1177,YouTube,Comedie,2019,6,29,UK,1744,14064,1858,263,46.5,5.1,0
1178,YouTube,Drame,2022,12,16,Allemagne,26659,18037,255,863,72.6,6.2,0
1179,YouTube,Action,2023,8,8,USA,22091,4240,283,7,85.2,5.7,0
1180,YouTube,Animation,2018,5,11,France,585,4123,77,230,89.2,5.3,0
1181,YouTube,Biopic,2022,6,22,France,22840,3378,51,46,54.9,6.7,0
1182,YouTube,Animation,2016,8,45,UK,1976,5841,20,67,72.1,6.7,0
1183,YouTube,SF,2023,10,6,Allemagne,22553,17852,2000,3,87.3,4.6,0
1184,YouTube,SF,2016,4,8,France,279007,14406,518,36,85.9,5.6,0
1185,YouTube,Thriller,2022,8,18,USA,55610,3162,108,13,79.9,7.6,0
1186,YouTube,Comedie,2018,7,52,Espagne,31414,2636,289,47,53.3,6.1,0
1187,YouTube,Romance,2023,1,59,USA,7650,2396,223,26,48.4,5.3,0
1188,YouTube,Romance,2016,11,28,France,25178,423,50,10,66.7,6.0,0
1189,YouTube,Action,2019,7,5,USA,67948,410,23,0,87.9,4.7,0
1190,YouTube,SF,2023,3,3,USA,55733,11613,1266,185,93.6,9.2,0
1191,YouTube,Drame,2015,8,51,France,18061,501,78,3,46.9,7.8,0
1192,YouTube,Comedie,2017,9,28,UK,34021,22807,2960,72,53.5,10.0,0
1193,YouTube,Documentaire,2015,11,7,USA,1582,2621,314,0,79.7,6.7,0
1194,YouTube,Romance,2017,1,50,UK,5071,23132,740,192,92.3,6.0,0
1195,YouTube,Animation,2018,5,33,UK,90682,14652,1398,181,44.8,5.2,0
1196,YouTube,Documentaire,2020,3,22,France,118665,24521,2065,195,59.9,7.2,0
1197,YouTube,Biopic,2017,7,28,France,26560,906,46,0,87.2,5.8,0
1198,YouTube,Horreur,2016,7,15,France,424187,8285,327,24,63.2,5.1,0
1199,YouTube,Animation,2016,6,56,France,60842,18858,1747,59,63.6,8.5,0
1200,YouTube,Horreur,2023,12,47,UK,13818,100,5,1,69.0,6.6,0
1201,YouTube,SF,2023,7,14,France,1920,209867,29597,525,72.8,6.9,1
1202,YouTube,Biopic,2016,5,44,UK,391392,860167,55001,3952,91.4,6.8,1
1203,YouTube,Documentaire,2016,1,13,France,102809,31831,4720,55,89.6,7.1,0
1204,YouTube,Animation,2015,4,28,France,803411,22352,669,87,69.9,3.9,0
1205,YouTube,Biopic,2023,11,45,France,1678976,12989,1874,35,95.0,4.8,0
1206,YouTube,Romance,2021,6,5,USA,1679,1327,204,1,57.6,9.3,0
1207,YouTube,Documentaire,2021,11,44,UK,1688,2263,515,44,78.4,6.4,0
1208,YouTube,Drame,2017,7,15,Canada,100,33223,1756,92,50.9,7.1,0
1209,YouTube,Biopic,2020,7,42,France,138236,261,42,1,76.2,7.7,0
1210,YouTube,Animation,2015,6,31,UK,81876,210,33,1,81.2,5.9,0
1211,YouTube,Documentaire,2021,7,4,Canada,26783,1103,94,15,84.9,4.9,0
1212,YouTube,SF,2020,1,46,USA,1896,15377,834,66,85.1,4.5,0
1213,YouTube,Horreur,2017,1,17,France,18433,342,41,3,79.1,5.0,0
1214,YouTube,Action,2021,6,57,France,31869,1696,101,6,59.4,5.5,0
1215,YouTube,Comedie,2020,8,50,France,105392,2283,473,1,63.3,5.4,0
1216,YouTube,Romance,2018,7,13,Allemagne,38024,237,10,0,80.2,4.6,0
1217,YouTube,Documentaire,2016,6,37,USA,83083,100,14,4,89.4,7.9,0
1218,YouTube,Horreur,2015,4,23,USA,17184,228,8,2,79.3,8.7,0
1219,YouTube,SF,2023,9,37,Canada,233973,5722,579,50,74.3,5.1,0
1220,YouTube,Animation,2017,8,34,USA,77921,10050,1056,268,46.5,3.9,0
1221,YouTube,Romance,2017,1,19,UK,2051,10258,1121,146,86.3,6.6,0
1222,YouTube,Biopic,2021,6,40,France,354491,13683,1413,19,90.6,8.8,0
1223,YouTube,Animation,2017,9,17,USA,255542,622,87,0,54.2,4.5,0
1224,YouTube,SF,2018,10,54,France,55879,364,86,1,83.0,4.5,0
1225,YouTube,Biopic,2021,4,56,France,38616,7613,223,49,86.1,2.9,0
1226,YouTube,Comedie,2020,12,12,France,607570,1755,283,20,71.5,6.9,0
1227,YouTube,Biopic,2020,8,44,UK,839,28787,439,495,76.9,5.0,0
1228,YouTube,Comedie,2015,6,55,UK,263668,7734,234,99,38.4,7.8,0
1229,YouTube,Drame,2019,8,10,UK,8498,73832,3230,543,74.9,7.6,0
1230,YouTube,Horreur,2019,11,45,France,196881,930,53,5,77.1,8.7,0
1231,YouTube,Documentaire,2020,3,56,Espagne,28022,42994,5062,126,83.0,8.1,0
1232,YouTube,Biopic,2016,2,15,France,1833,482477,22055,11218,12.9,4.1,1
1233,YouTube,Documentaire,2016,6,36,Canada,8159,3409,221,72,19.5,6.1,0
1234,YouTube,Animation,2021,2,48,UK,169983,10386,1800,279,66.6,8.2,0
1235,YouTube,Thriller,2021,11,22,USA,14466,291,33,0,65.0,4.4,0
1236,YouTube,Action,2022,12,16,USA,6355,27865,1874,942,75.8,5.9,0
1237,YouTube,Comedie,2017,8,25,Canada,6270,50143,3751,1450,53.0,6.6,0
1238,YouTube,Drame,2023,12,22,UK,79578,865,25,2,82.4,6.4,0
1239,YouTube,Action,2017,1,44,France,730343,12905,1170,234,30.6,6.9,0
1240,YouTube,Romance,2020,8,24,Canada,304,6010,67,92,70.3,5.5,0
1241,YouTube,Documentaire,2016,6,24,France,5964697,7918,40,44,54.4,5.1,0
1242,YouTube,Biopic,2023,4,56,USA,33106,22698,1884,95,61.9,7.2,0
1243,YouTube,SF,2017,4,35,UK,70294,10907,840,92,28.8,6.2,0
1244,YouTube,Horreur,2022,7,55,Canada,9204,2105,6,11,84.5,9.7,0
1245,YouTube,Biopic,2017,8,43,USA,21872,23938,1123,186,92.2,4.8,0
1246,YouTube,Horreur,2022,2,53,France,32371,48032,6225,742,78.7,6.4,0
1247,YouTube,SF,2019,8,14,USA,2702,745,126,6,74.7,4.5,0
1248,YouTube,Thriller,2015,12,56,France,4396,2967,224,9,89.9,7.0,0
1249,YouTube,Biopic,2016,1,56,USA,235422,100,11,1,53.2,6.2,0
1250,YouTube,Drame,2021,11,5,USA,987,12822,964,272,60.5,7.3,0
1251,YouTube,SF,2016,8,23,Canada,53214,63436,4931,1169,65.8,5.4,0
1252,YouTube,Action,2017,5,26,France,10498,1566,28,27,59.6,3.7,0
1253,YouTube,Documentaire,2019,9,26,France,3224,4161,467,3,58.9,8.4,0
1254,YouTube,Animation,2017,8,47,USA,1136954,1719,103,4,50.8,7.8,0
1255,YouTube,Action,2016,10,42,France,3264,1141,178,12,47.1,7.9,0
1256,YouTube,Drame,2020,1,15,France,2298,5326,1200,1,87.4,7.8,0
1257,YouTube,Romance,2021,1,37,USA,15154,419,31,1,26.3,6.6,0
1258,YouTube,Romance,2021,8,58,USA,4735,1655,310,3,76.0,7.4,0
1259,YouTube,Horreur,2023,4,28,France,22309,310,38,1,39.2,5.1,0
1260,YouTube,Drame,2016,3,55,USA,30055,12999,248,88,73.0,5.9,0
1261,YouTube,Biopic,2018,6,40,Allemagne,35218,5421,648,1,78.0,8.2,0
1262,YouTube,SF,2017,9,55,USA,17192,1014,64,13,31.6,9.5,0
1263,YouTube,Horreur,2023,3,54,France,5408,3270,546,18,51.7,7.0,0
1264,YouTube,Drame,2019,12,3,France,79762,1716,24,46,86.0,1.5,0
1265,YouTube,Action,2015,6,48,France,17616,52038,590,1118,35.1,7.0,0
