id,plateforme,genre,annee,nb_saisons,pays_origine,duree_ep_min,score_critique,note_spectateurs,nb_abonnes_impact
422,Prime Video,SF,2018,1,UK,80,9.0,8.3,446576
423,Disney+,Action,2010,3,USA,42,8.5,8.4,512312
424,Netflix,Animation,2017,2,USA,74,3.8,5.3,106623
425,Disney+,Animation,2012,4,France,45,6.2,5.2,162862
426,Prime Video,Drame,2012,6,Espagne,73,7.5,5.6,49379
427,Netflix,Romance,2011,5,USA,38,7.4,4.3,4097
428,Netflix,Horreur,2017,5,USA,43,6.0,6.0,52390
429,Prime Video,Romance,2020,2,USA,85,8.6,7.4,20397
430,Netflix,Comedie,2011,2,USA,74,5.9,2.9,17004
431,Netflix,Comedie,2020,1,France,56,7.0,6.7,55995
432,Disney+,SF,2023,6,USA,27,6.9,8.6,5610284
433,Netflix,Thriller,2023,3,UK,62,7.3,8.0,28166
434,Prime Video,Horreur,2019,7,USA,48,6.3,7.3,347950
435,Prime Video,Horreur,2020,2,USA,24,7.6,6.9,9635
436,Netflix,Horreur,2010,7,France,37,6.0,8.3,251676
437,Netflix,Animation,2020,1,Allemagne,81,7.4,7.5,444944
438,Prime Video,Romance,2018,4,Espagne,70,6.3,6.4,30340
439,Prime Video,Horreur,2016,6,UK,25,8.7,8.0,60864
440,Disney+,SF,2021,5,USA,72,6.7,5.0,39789
441,Disney+,Animation,2012,5,UK,56,7.2,7.8,340559
442,Prime Video,Drame,2019,6,Allemagne,79,8.3,7.5,248283
443,Netflix,Romance,2015,2,USA,80,7.3,7.1,533809
444,Netflix,Thriller,2021,3,USA,68,8.0,6.9,127285
445,Netflix,Horreur,2011,4,USA,27,5.6,9.0,16154
446,Netflix,Romance,2012,4,USA,33,7.7,8.2,30393
447,Netflix,Romance,2021,7,USA,78,6.8,8.6,20929
448,Disney+,Animation,2018,6,Allemagne,39,8.0,7.4,44181
449,Netflix,Documentaire,2016,7,France,70,7.6,8.3,66714
450,Netflix,Biopic,2020,2,USA,57,7.6,7.4,79430
451,Prime Video,Comedie,2021,4,UK,57,7.8,6.6,128109
452,Disney+,Horreur,2016,6,USA,65,8.2,7.8,9678
453,Netflix,Comedie,2023,7,USA,43,4.5,6.5,542879
454,Prime Video,Biopic,2022,3,Allemagne,53,6.1,8.3,243977
455,Netflix,SF,2014,6,USA,70,7.0,5.2,90491
456,Netflix,Biopic,2016,2,USA,74,5.6,6.5,70021
457,Disney+,Thriller,2012,1,USA,85,6.7,5.9,73047
458,Prime Video,Comedie,2012,5,France,33,7.2,9.8,92067
459,Disney+,Drame,2013,2,USA,31,8.9,6.0,311479
460,Prime Video,Comedie,2010,4,USA,81,7.9,6.7,126087
461,Prime Video,Thriller,2020,2,USA,20,7.9,4.1,243852
462,Prime Video,Animation,2011,3,Allemagne,76,7.1,9.0,180467
463,Disney+,Animation,2013,1,USA,20,4.9,5.8,64990
464,Netflix,Biopic,2015,5,USA,53,6.1,8.8,14294
465,Netflix,Animation,2014,4,UK,89,5.0,5.5,1257710
466,Disney+,Horreur,2021,3,Allemagne,60,7.7,5.5,404186
467,Netflix,Comedie,2018,5,France,59,7.1,7.9,1102166
468,Disney+,SF,2011,3,USA,64,7.3,4.8,75877
469,Prime Video,Biopic,2016,1,UK,55,7.6,7.4,266679
470,Prime Video,Thriller,2020,4,Allemagne,21,6.4,5.8,64319
471,Netflix,Animation,2012,5,France,33,5.4,9.6,432952
472,Disney+,Horreur,2011,5,Espagne,66,6.5,9.2,1704698
473,Prime Video,Drame,2016,2,France,41,7.5,8.5,1577469
474,Prime Video,SF,2016,3,Canada,45,4.9,9.8,171223
475,Netflix,Action,2016,2,France,62,7.2,6.0,489833
476,Prime Video,Comedie,2018,4,UK,23,5.6,7.8,352553
477,Prime Video,Horreur,2019,1,USA,30,7.7,5.6,199911
478,Netflix,Action,2014,1,USA,62,5.5,7.9,309551
479,Prime Video,Thriller,2015,1,USA,55,7.9,7.3,51041
480,Netflix,Animation,2021,6,UK,66,5.3,5.2,16196
481,Disney+,Drame,2021,5,USA,21,5.9,6.7,310741
482,Netflix,Comedie,2012,3,Espagne,64,7.8,6.9,31394
483,Netflix,Drame,2013,2,USA,72,6.8,6.9,45600
484,Netflix,Biopic,2018,6,France,88,4.6,9.1,83936
485,Netflix,Drame,2017,7,USA,34,7.8,5.4,1552383
486,Disney+,Comedie,2018,6,Espagne,75,4.5,5.9,146969
487,Netflix,Documentaire,2021,7,UK,88,6.8,2.9,43309
488,Netflix,SF,2015,2,UK,43,9.5,7.7,25582
489,Disney+,Animation,2013,1,Espagne,87,7.1,7.9,124593
490,Disney+,Horreur,2010,3,USA,58,6.6,7.9,117687
491,Netflix,Thriller,2013,6,USA,26,6.9,6.8,28201
492,Netflix,Action,2023,7,France,71,5.7,5.8,198757
493,Netflix,Thriller,2018,5,USA,53,7.2,5.2,13814
494,Netflix,Thriller,2022,4,USA,25,9.6,7.5,32307
495,Prime Video,Biopic,2017,3,France,39,6.5,5.7,1255287
496,Disney+,Romance,2023,5,Allemagne,55,6.0,4.6,28128
497,Netflix,Animation,2023,2,USA,58,7.6,8.1,132693
498,Prime Video,Thriller,2014,2,Allemagne,52,7.9,6.3,288797
499,Prime Video,Documentaire,2021,4,UK,60,7.1,7.0,2484945
